label,cohort,n,wr_5b,avg_5b,median_5b,sharpe_5b,wr_10b,avg_10b,median_10b,sharpe_10b,wr_15b,avg_15b,median_15b,sharpe_15b,wr_30b,avg_30b,median_30b,sharpe_30b,category,signal_id,score_tier,combo_name,gap_bars,combo_type,n_signals,filter
absorption_and_exhaustion_same_bar,same_bar_family,233,0.4592274678111588,-1.082618025751073,-2.5,-0.012723181223241495,0.49137931034482757,1.3642241379310345,-1.25,0.014144509811161403,0.4827586206896552,-0.16163793103448276,-2.125,-0.001488333006680219,0.4827586206896552,0.7068965517241379,-2.5,0.005701130419157435,,,,absorption_and_exhaustion_same_bar,,same_bar_family,2.0,
absorption_all_family_events,absorption_filter,901,0.462819089900111,-0.8102108768035516,-1.5,-0.010691167280573947,0.4738598442714127,-1.0725806451612903,-1.25,-0.011161604654715456,0.4638487208008899,-4.164905450500556,-3.0,-0.03796285437374061,0.4560622914349277,-5.7791991101223585,-4.25,-0.04170393957155045,,,,,,,,baseline
absorption_with_prior_exhaustion_10b,absorption_filter,875,0.4617142857142857,-1.1622857142857144,-1.75,-0.015224997996728945,0.4765177548682703,-1.493413516609393,-0.75,-0.015413686723750408,0.4616265750286369,-4.52233676975945,-3.25,-0.04083766836994339,0.4558991981672394,-6.053264604810996,-4.25,-0.043182155411991566,,,,,,,,prior_exhaustion_10b
trapped_and_absorption_same_bar,trapped_confirmation,665,0.4481203007518797,-2.6650375939849624,-2.0,-0.03932861665575618,0.46766917293233085,-2.7030075187969924,-1.5,-0.028885270103692726,0.46466165413533833,-6.757518796992481,-3.75,-0.06191902753782503,0.45263157894736844,-8.543233082706767,-4.25,-0.060716884907655505,,,,trapped_and_absorption_same_bar,,same_bar_family,2.0,
trapped_then_absorption_within_3b,trapped_confirmation,841,0.4637336504161712,-1.888525564803805,-1.5,-0.026162838212469525,0.47023809523809523,-2.0285714285714285,-1.375,-0.021660228972867037,0.45,-5.80327380952381,-4.0,-0.053720330396234285,0.4452380952380952,-8.564583333333333,-5.5,-0.0620476708677111,,,,trapped_then_absorption_within_3b,,sequence,2.0,
ABS_04 + EXH_03 + TRAP_05,combo_ranking,9,0.7777777777777778,135.94444444444446,138.0,1.1310519272885755,0.8888888888888888,131.08333333333334,119.5,1.1100737754399128,0.8888888888888888,123.05555555555556,96.75,1.0253496101438193,0.8888888888888888,122.27777777777777,143.5,1.0471362253251983,,,,ABS_04 + EXH_03 + TRAP_05,,same_bar_signal_3,3.0,
ABS_04 + TRAP_05,combo_ranking,12,0.5833333333333334,91.3125,94.125,0.6942720812835363,0.6666666666666666,81.0,107.375,0.5906413027837385,0.6666666666666666,78.29166666666667,90.625,0.5924743581987484,0.6666666666666666,82.97916666666667,19.0,0.6697802363765154,,,,ABS_04 + TRAP_05,,same_bar_signal_2,2.0,
ABS_04 + EXH_03,combo_ranking,28,0.5714285714285714,75.89285714285714,21.25,0.48568541640323,0.6785714285714286,78.08035714285714,21.0,0.4626832349788004,0.5714285714285714,67.79464285714286,47.375,0.41058470227196003,0.5714285714285714,55.794642857142854,12.25,0.2983909743421379,,,,ABS_04 + EXH_03,,same_bar_signal_2,2.0,
ABS_04 + EXH_03 + TRAP_04,combo_ranking,13,0.6153846153846154,76.46153846153847,22.0,0.42152316278766366,0.5384615384615384,68.17307692307692,2.75,0.32640739204667757,0.46153846153846156,43.5,-52.25,0.21843455548872273,0.38461538461538464,6.25,-46.25,0.02787788770736715,,,,ABS_04 + EXH_03 + TRAP_04,,same_bar_signal_3,3.0,
ABS_04 + TRAP_04 + TRAP_05,combo_ranking,5,0.6,85.65,112.5,0.6573003742570452,0.6,68.0,104.25,0.5636697406615697,0.6,63.2,86.75,0.6047454062553588,0.6,46.9,16.75,0.49522337243174536,,,,ABS_04 + TRAP_04 + TRAP_05,,same_bar_signal_3,3.0,
ABS_04 + EXH_03 + EXH_05,combo_ranking,12,0.3333333333333333,35.5625,-12.625,0.2667379591873794,0.5833333333333334,45.3125,11.375,0.35606630746414,0.5,36.3125,2.625,0.2614304218523011,0.5,51.041666666666664,2.75,0.3352472069166199,,,,ABS_04 + EXH_03 + EXH_05,,same_bar_signal_3,3.0,
