score_entry_threshold,min_tier,stop_loss_ticks,target_ticks,exit_on_opposing_score,max_bars_in_trade,total_trades,win_rate,profit_factor,max_drawdown_dollars,sharpe,avg_pnl_per_trade,net_pnl
80,1,12,40,0.5,15,8,0.75,10.279577302703728,8.704842090664897,16.121788305104488,91.94316491377322,735.5453193101857
80,1,12,40,0.5,30,8,0.875,14.82573264868323,0.0,18.941675092258425,121.94316491377322,975.5453193101857
80,1,12,40,0.5,60,8,0.875,17.093302570861237,0.0,21.926260666839966,141.94316491377322,1135.5453193101857
80,1,12,40,0.7,15,8,0.75,10.279577302703728,8.704842090664897,16.121788305104488,91.94316491377322,735.5453193101857
80,1,12,40,0.7,30,8,0.875,14.82573264868323,0.0,18.941675092258425,121.94316491377322,975.5453193101857
80,1,12,40,0.7,60,8,0.875,17.093302570861237,0.0,21.926260666839966,141.94316491377322,1135.5453193101857
80,1,12,60,0.3,15,8,0.75,10.279577302703728,8.704842090664897,16.121788305104488,91.94316491377322,735.5453193101857
80,1,12,60,0.3,30,8,0.875,15.88865604970417,0.0,18.721485142865326,131.31816491377322,1050.5453193101857
80,1,12,60,0.3,60,8,0.875,22.903950496442377,0.0,21.54347333970865,193.19316491377322,1545.5453193101857
80,1,12,60,0.5,15,8,0.75,10.279577302703728,8.704842090664897,16.121788305104488,91.94316491377322,735.5453193101857
80,1,12,60,0.5,30,8,0.875,15.88865604970417,0.0,18.721485142865326,131.31816491377322,1050.5453193101857
80,1,12,60,0.5,60,8,0.875,22.903950496442377,0.0,21.54347333970865,193.19316491377322,1545.5453193101857
80,1,12,60,0.7,15,8,0.75,10.279577302703728,8.704842090664897,16.121788305104488,91.94316491377322,735.5453193101857
80,1,12,60,0.7,30,8,0.875,15.88865604970417,0.0,18.721485142865326,131.31816491377322,1050.5453193101857
80,1,12,60,0.7,60,8,0.875,22.903950496442377,0.0,21.54347333970865,193.19316491377322,1545.5453193101857
80,1,16,16,0.3,15,8,0.75,35.38813257353342,8.704842090664897,22.812847499813902,61.31816491377322,490.54531931018573
80,1,16,16,0.3,30,8,0.875,23.517319053141463,0.0,28.50510937314248,71.94316491377322,575.5453193101857
80,1,16,16,0.3,60,8,1.0,inf,0.0,159.36799109298528,87.56816491377322,700.5453193101857
80,1,16,16,0.5,15,8,0.75,35.38813257353342,8.704842090664897,22.812847499813902,61.31816491377322,490.54531931018573
80,1,16,16,0.5,30,8,0.875,23.517319053141463,0.0,28.50510937314248,71.94316491377322,575.5453193101857
80,1,16,16,0.5,60,8,1.0,inf,0.0,159.36799109298528,87.56816491377322,700.5453193101857
80,1,16,16,0.7,15,8,0.75,35.38813257353342,8.704842090664897,22.812847499813902,61.31816491377322,490.54531931018573
80,1,16,16,0.7,30,8,0.875,23.517319053141463,0.0,28.50510937314248,71.94316491377322,575.5453193101857
80,1,16,16,0.7,60,8,1.0,inf,0.0,159.36799109298528,87.56816491377322,700.5453193101857
